Fitness,Precision,Generalization,Simplicity
,,,
1,0.235249042,0.513513514,0.568254632
1,0.235249042,0.513513514,0.568254632
1,0.223541511,0.571428571,0.846077315
1,0.361513158,0.62962963,0.762651534
1,0.260790792,0.575757576,0.825383462
1,0.614890198,0.797101449,0.835160306
,,,
0.983838384,0.266853933,0.577464789,0.716849528
0.983838384,0.266853933,0.577464789,0.716849528
1,Error,0.635036496,0.793323975
0.992584746,0.354225133,0.6,0.640287925
0.806718062,0.375623018,0.604790419,0.733651813
0.962209302,0.153967007,0.558441558,0.782810996
,,,
0.824633319,0.446666667,0.666666667,0.623330938
0.824633319,0.446666667,0.666666667,0.623330938
1,Error,0.65625,0.848624918
0.992584746,0.35345364,0.6,0.640287925
0.801460823,0.401388086,0.654135338,0.755300917
0.836070959,0.394306481,0.664,0.687293838
,,,
0.926436782,0.384030418,0.68115942,0.72054438
0.926436782,0.384030418,0.68115942,0.72054438
1,Error,0.65625,0.848624918
0.634434516,0.4,0.658536585,0.589907044
0.631401617,0.413265306,0.663716814,0.696562898
0.840650324,0.376878613,0.698113208,0.756179964
,,,
0.983870968,0.258426966,0.555555556,0.730562219
0.983870968,0.258426966,0.555555556,0.730562219
0.569831921,Error,0.753846154,0.81930017
1,0.275480769,0.621621622,0.668374016
1,0.202948446,0.574468085,0.798438668
0.887696509,0.091922006,0.639344262,0.802902526
